id,czech,translation,pronunciation,audio,sequence,level_id,part_id,language_id
15821,zkroucený,twisted,twˈɪstᵻd,twisted,5611,5,,1
15822,adekvátní,adequate,ˈædɪkwət,adequate,5612,5,,1
15823,respektován,respected,ɹᵻspˈɛktᵻd,respected,5613,5,,1
15824,tyfus,typhoid,tˈaɪfɔɪd,typhoid,5614,5,,1
15825,respirační,respiratory,ɹˈɛspɹətˌɔːɹi,respiratory,5615,5,,1
15826,tyranie,tyranny,tˈɪɹəni,tyranny,5616,5,,1
15827,tyran,tyrant,tˈaɪɹənt,tyrant,5617,5,,1
15828,tabulkový procesor,spreadsheet,spɹˈɛdʃiːt,spreadsheet,5618,5,,1
15829,konečný,ultimate,ˈʌltᵻmət,ultimate,5619,5,,1
15830,nakonec,ultimately,ˈʌltᵻmətli,ultimately,5620,5,,1
15831,nadmořská výška,altitude,ˈæltɪtˌuːd,altitude,5621,5,,1
15832,pronásledování,pursuit,pɚsˈuːt,pursuit,5622,5,,1
15833,nepřijatelný,unacceptable,ʌnɐksˈɛptəbəl,unacceptable,5623,5,,1
15834,úzkost,anguish,ˈæŋɡwɪʃ,anguish,5624,5,,1
15835,nestydatě,unashamedly,ʌnɐʃˈeɪmɪdli,unashamedly,5625,5,,1
15836,neatraktivní,unattractive,ʌnɐtɹˈæktɪv,unattractive,5626,5,,1
15837,neoprávněný,unauthorised,ʌnˈɔːθɚɹˌaɪzd,unauthorised,5627,5,,1
15838,cílevědomý,purposeful,pˈɜːpəsfəl,purposeful,5628,5,,1
15839,segment,segment,sˈɛɡmənt,segment,5629,5,,1
15840,slaný,salty,sˈɔlti,salty,5630,5,,1
15841,kvalifikace,qualification,kwˌɔlɪfɪkˈeɪʃən,qualification,5631,5,,1
15842,nádor,tumour,tˈuːmɚ,tumour,5632,5,,1
15843,klopýtnout,trip,tɹˈɪp,trip,5633,5,,1
15844,přímočarý,straightforward,stɹeɪtfˈɔːɹwɚd,straightforward,5634,5,,1
15845,triviální,trivial,tɹˈɪvɪəl,trivial,5635,5,,1
15846,vozík,trolley,tɹˈɑːli,trolley,5636,5,,1
15847,divný,queer,kwˈɪɹ,queer,5637,5,,1
15848,oddíl,troop,tɹˈuːp,troop,5638,5,,1
15849,trofej,trophy,tɹˈoʊfi,trophy,5639,5,,1
15850,obratník,tropic,tɹˈɑːpɪk,tropic,5640,5,,1
15851,narovnat,straighten,stɹˈeɪtən,straighten,5641,5,,1
15852,růžový,rosy,ɹˈoʊzi,rosy,5642,5,,1
15853,problematické,troublesome,tɹˈʌbəlsˌʌm,troublesome,5643,5,,1
15854,nesporně,admittedly,ɐdmˈɪɾᵻdli,admittedly,5644,5,,1
15855,Anchorperson,anchorperson,ˈæŋkɚpɚsən,anchorperson,5645,5,,1
15856,svárlivý,quarrelsome,kwˈɔːɹəlsˌʌm,quarrelsome,5646,5,,1
15857,hádka,quarrel,kwˈɔːɹəl,quarrel,5647,5,,1
15858,kufr,trunk,tɹˈʌŋk,trunk,5648,5,,1
15859,hádat se,quarrel,kwˈɔːɹəl,quarrel,5649,5,,1
15860,tulipán,tulip,tjˈuːlɪp,tulip,5650,5,,1
15861,výuka,tuition,tuːˈɪʃən,tuition,5651,5,,1
11498,tahat,tug,tˈʌɡ,tug,5652,5,,1
15862,obdivuhodný,admirable,ˈædmᵻɹəbəl,admirable,5653,5,,1
15863,tuberkulóza,tuberculosis,tˌuːbɚkjʊlˈoʊsɪs,tuberculosis,5654,5,,1
15864,vyčíslit,quantify,kwˈɔntᵻfˌaɪ,quantify,5655,5,,1
15865,trio,trio,tɹˈiːoʊ,trio,5656,5,,1
15866,vana,tub,tˈʌb,tub,5657,5,,1
15867,obdivuhodně,admiringly,ɐdmˈaɪɚɹɪŋli,admiringly,5658,5,,1
15868,pravdivost,truthfulness,tɹˈuːθfəlnəs,truthfulness,5659,5,,1
15869,pravdivý,truthful,tɹˈuːθfəl,truthful,5660,5,,1
15870,věrný,trusty,tɹˈʌsti,trusty,5661,5,,1
15871,slušně,respectably,ɹᵻspˈɛktəbli,respectably,5662,5,,1
15872,důvěra,trust,tɹˈʌst,trust,5663,5,,1
15873,karanténa,quarantine,kwˈɔːɹəntˌiːn,quarantine,5664,5,,1
15874,radikál,radical,ɹˈædɪkəl,radical,5665,5,,1
15875,přeskočit,skip,skˈɪp,skip,5667,5,,1
15876,laskavě,affectionately,ɐfˈɛkʃənətli,affectionately,5668,5,,1
15877,zpustošení,ravage,ɹˈævɪdʒ,ravage,5669,5,,1
15878,chrastit,rattle,ɹˈæɾəl,rattle,5670,5,,1
15879,láskyplný,affectionate,ɐfˈɛkʃənət,affectionate,5671,5,,1
15880,scrooge,scrooge,skɹˈuːdʒ,scrooge,5672,5,,1
15881,důkladně,thoroughly,θˈʌɹoʊli,thoroughly,5673,5,,1
15882,suť,rubble,ɹˈʌbəl,rubble,5674,5,,1
15883,přemýšlivý,thoughtful,θˈɔːtfəl,thoughtful,5675,5,,1
15884,bezohledný,thoughtless,θˈɔːtləs,thoughtless,5676,5,,1
11499,vlákno,thread,θɹˈɛd,thread,5677,5,,1
15886,sponzorovat,sponsor,spˈɑːnsɚ,sponsor,5678,5,,1
15887,vyhrožovat,threaten,θɹˈɛʔn̩,threaten,5679,5,,1
15888,za třetí,thirdly,θˈɜːdli,thirdly,5680,5,,1
15889,potápění,scuba,skˈuːbə,scuba,5681,5,,1
15890,vzrušení,thrill,θɹˈɪl,thrill,5682,5,,1
15891,nadšený,thrilled,θɹˈɪld,thrilled,5683,5,,1
15892,vzrušující,thrilling,θɹˈɪlɪŋ,thrilling,5684,5,,1
15893,hrdlo,throat,θɹˈoʊt,throat,5685,5,,1
15894,zdůrazňovat,stress,stɹˈɛs,stress,5686,5,,1
15895,kosa,scythe,sˈaɪð,scythe,5687,5,,1
15896,třít,rub,ɹˈʌb,rub,5688,5,,1
15897,sklouznout,slide,slˈaɪd,slide,5689,5,,1
15898,vyrážka,rash,ɹˈæʃ,rash,5690,5,,1
15899,krájet,slice,slˈaɪs,slice,5691,5,,1
15900,pečeť,seal,sˈiːl,seal,5692,5,,1
15901,odstoupit,resign,ɹɪzˈaɪn,resign,5693,5,,1
15902,hliník,aluminium,ˌæljʊmˈɪniəm,aluminium,5694,5,,1
15903,šimrání,tickle,tˈɪkəl,tickle,5695,5,,1
15904,střípek,sliver,slˈɪvɚ,sliver,5696,5,,1
15905,třetí osoba,third person,θˈɜːd pˈɜːsən,third_person,5697,5,,1
15906,myslitel,thinker,θˈɪŋkɚ,thinker,5698,5,,1
15907,cenově dostupné,affordable,ɐfˈɔːɹdəbəl,affordable,5699,5,,1
15908,analytik,analyst,ˈænɐlˌɪst,analyst,5700,5,,1
15909,děsivé,terrifying,tˈɛɹᵻfˌaɪɪŋ,terrifying,5701,5,,1
15910,území,territory,tˈɛɹɪtˌɔːɹi,territory,5702,5,,1
15911,nemovitost,real estate,ɹˈiːəl ᵻstˈeɪt,real_estate,5703,5,,1
15912,mluvčí,spokesman,spˈoʊksmən,spokesman,5704,5,,1
15913,agresivně,aggressively,ɐɡɹˈɛsɪvli,aggressively,5705,5,,1
15914,zkoušet,test,tˈɛst,test,5706,5,,1
15915,svědčit,testify,tˈɛstᵻfˌaɪ,testify,5707,5,,1
15916,svědectví,testimony,tˈɛstᵻməni,testimony,5708,5,,1
15917,nedbalý,sloppy,slˈɑːpi,sloppy,5709,5,,1
15918,krok,stride,stɹˈaɪd,stride,5710,5,,1
15919,šroubovat,screw,skɹˈuː,screw,5711,5,,1
15920,oblouk,arch,ˈɑːɹtʃ,arch,5712,5,,1
15921,nestárnoucí,ageless,ˈeɪdʒləs,ageless,5713,5,,1
15922,snadno,readily,ɹˈɛdili,readily,5714,5,,1
15923,mluvčí,spokeswoman,spˈoʊkswʊmən,spokeswoman,5715,5,,1
15924,téma,theme,θˈiːm,theme,5716,5,,1
15925,stehno,thigh,θˈaɪ,thigh,5717,5,,1
15926,tloušťka,thickness,θˈɪknəs,thickness,5718,5,,1
15927,hustě,thickly,θˈɪkli,thickly,5719,5,,1
15928,koberec,rug,ɹˈʌɡ,rug,5720,5,,1
15929,práce,thesis,θˈiːsɪs,thesis,5721,5,,1
15930,teploměr,thermometer,θɜːmˈɑːmɪɾɚ,thermometer,5722,5,,1
15931,královské hodnosti,royalty,ɹˈɔɪəlɾi,royalty,5723,5,,1
15932,poté,thereafter,ðɛɹˈæftɚ,thereafter,5724,5,,1
15933,terapie,therapy,θˈɛɹəpi,therapy,5725,5,,1
15934,terapeut,therapist,θˈɛɹəpˌɪst,therapist,5726,5,,1
15935,čmáranice,scribble,skɹˈɪbəl,scribble,5727,5,,1
15936,reakce,reaction,ɹɪˈækʃən,reaction,5728,5,,1
15937,teoretik,theorist,θˈiəɹɪst,theorist,5729,5,,1
15938,archeolog,archeologist,ˌɑːɹkɪˈɑːlədʒˌɪst,archeologist,5730,5,,1
15939,přísně,strictly,stɹˈɪktli,strictly,5731,5,,1
15940,rezignace,resignation,ɹˌɛzɪɡnˈeɪʃən,resignation,5732,5,,1
15941,znásilňovat,rape,ɹˈeɪp,rape,5733,5,,1
15942,znásilnění,rape,ɹˈeɪp,rape,5734,5,,1
15943,dobrodružný,adventurous,ɐdvˈɛntʃɚɹəs,adventurous,5735,5,,1
15944,tón,ton,tˈʌn,ton,5736,5,,1
15945,slang,slang,slˈæŋ,slang,5737,5,,1
15946,příchod,advent,ˈædvɛnt,advent,5738,5,,1
15947,pokrok,advancement,ɐdvˈænsmənt,advancement,5739,5,,1
15948,slam,slam,slˈæm,slam,5740,5,,1
15949,duha,rainbow,ɹˈeɪnboʊ,rainbow,5741,5,,1
15950,pochodeň,torch,tˈɔːɹtʃ,torch,5742,5,,1
15951,druhá osoba,second person,sˈɛkənd pˈɜːsən,second_person,5743,5,,1
15952,želvovina,tortoiseshell,tˈɔːɹɾəsʃˌɛl,tortoiseshell,5744,5,,1
15953,mučení,torture,tˈɔːɹtʃɚ,torture,5745,5,,1
15954,sekundární,secondary,sˈɛkəndɚɹi,secondary,5746,5,,1
15955,k nebi,skyward,skˈaɪwɚd,skyward,5747,5,,1
15956,trasa,route,ɹˈaʊt,route,5748,5,,1
15957,skřivan,skylark,skˈaɪlɑːɹk,skylark,5749,5,,1
15958,sledovat,track,tɹˈæk,track,5751,5,,1
15959,radikálně,radically,ɹˈædɪkli,radically,5752,5,,1
15960,stopovat,trace,tɹˈeɪs,trace,5753,5,,1
15961,aréna,arena,ɚɹˈiːnə,arena,5754,5,,1
15962,rádium,radium,ɹˈeɪdiəm,radium,5755,5,,1
15963,krokev,rafter,ɹˈæftɚ,rafter,5756,5,,1
15964,přitažlivost,appeal,ɐpˈiːl,appeal,5757,5,,1
15965,hadr,rag,ɹˈæɡ,rag,5758,5,,1
15966,toxický,toxic,tˈɑːksɪk,toxic,5759,5,,1
15967,ozdobit,adorn,ɐdˈɔːɹn,adorn,5760,5,,1
15968,kotviště,anchorage,ˈæŋkɚɹɪdʒ,anchorage,5761,5,,1
15969,za druhé,secondly,sˈɛkəndli,secondly,5762,5,,1
15970,tvrdý,tough,tˈʌf,tough,5763,5,,1
15971,ukotvit,anchor,ˈæŋkɚ,anchor,5764,5,,1
19604,uctívat,adore,ɐdˈɔːɹ,adore,5765,5,,1
15972,nevědomý,unaware,ˌʌnəwˈɛɹ,unaware,5766,5,,1
15973,mýtné,toll,tˈoʊl,toll,5767,5,,1
15974,tolerantní,tolerant,tˈɑːlɚɹənt,tolerant,5768,5,,1
15975,lano,tightrope,tˈaɪtɹoʊp,tightrope,5769,5,,1
15976,odpor,resistance,ɹᵻsˈɪstəns,resistance,5770,5,,1
15977,nadčasový,timeless,tˈaɪmləs,timeless,5771,5,,1
15978,včasnost,timeliness,tˈaɪmlinəs,timeliness,5772,5,,1
15979,rezoluce,resolution,ɹˌɛzəlˈuːʃən,resolution,5773,5,,1
15980,ranger,ranger,ɹˈeɪndʒɚ,ranger,5774,5,,1
15981,dostřel,range,ɹˈeɪndʒ,range,5775,5,,1
15982,časy,times,tˈaɪmz,times,5776,5,,1
15983,načasování,timing,tˈaɪmɪŋ,timing,5777,5,,1
15984,veslovat,row,ɹˈoʊ,row,5778,5,,1
15985,jezdec,rider,ɹˈaɪdɚ,rider,5779,5,,1
15986,rampa,ramp,ɹˈæmp,ramp,5780,5,,1
15987,spropitné,tip,tˈɪp,tip,5781,5,,1
15988,chodit po špičkách,tiptoe,tˈɪptoʊ,tiptoe,5782,5,,1
15989,sezónní,seasonal,sˈiːzənəl,seasonal,5783,5,,1
15990,beran,ram,ɹˈæm,ram,5784,5,,1
15991,rezonanční,resonant,ɹˈɛzənənt,resonant,5785,5,,1
15992,bouřka,rainstorm,ɹˈeɪnstɔːɹm,rainstorm,5786,5,,1
15993,facka,slap,slˈæp,slap,5787,5,,1
15994,dřina,toil,tˈɔɪl,toil,5788,5,,1
15995,nepříznivý,adverse,ædvˈɜːs,adverse,5789,5,,1
15996,nehet,toenail,tˈoʊneɪl,toenail,5790,5,,1
15997,nepříznivě,adversely,ædvˈɜːsli,adversely,5791,5,,1
15998,tolerovat,tolerate,tˈɑːlɚɹˌeɪt,tolerate,5792,5,,1
15999,arktický,arctic,ˈɑːɹktɪk,arctic,5793,5,,1
16000,nepřízeň osudu,adversity,ædvˈɚsᵻɾi,adversity,5794,5,,1
16001,lomítko,slash,slˈæʃ,slash,5795,5,,1
16002,porážka,slaughter,slˈɔːɾɚ,slaughter,5796,5,,1
16003,únavné,tiresome,tˈaɪɚsʌm,tiresome,5797,5,,1
16004,únava,tiredness,tˈaɪɚdnəs,tiredness,5798,5,,1
16005,shromáždění,rally,ɹˈæli,rally,5799,5,,1
16006,vrazit facku,slap,slˈæp,slap,5800,5,,1
16007,polekat,startle,stˈɑːɹɾəl,startle,5801,5,,1
16008,kánon,canon,kˈænən,canon,5802,5,,1
16009,popularizovat,popularise,pˈɑːpjʊlɚɹˌaɪz,popularise,5803,5,,1
16010,etický,ethic,ˈɛθɪk,ethic,5804,5,,1
16011,etnický,ethnic,ˈɛθnɪk,ethnic,5805,5,,1
16012,evakuuji,evacuate,ɪvˈækjuːˌeɪt,evacuate,5806,5,,1
16013,evakuace,evacuation,ɪvˌækjuːˈeɪʃən,evacuation,5807,5,,1
16014,hodnotit,evaluate,ɪvˈæljuːˌeɪt,evaluate,5808,5,,1
16015,hodnocení,evaluation,ɪvˌæljuːˈeɪʃən,evaluation,5809,5,,1
16016,věčný,everlasting,ˌɛvɚlˈæstɪŋ,everlasting,5810,5,,1
16017,statečnost,bravery,bɹˈeɪvɚɹi,bravery,5811,5,,1
16018,zřejmě,evidently,ˈɛvɪdəntli,evidently,5812,5,,1
16019,zlo,evil,ˈiːvəl,evil,5813,5,,1
16020,vývoj,evolution,ˌɛvəlˈuːʃən,evolution,5814,5,,1
16021,vyvíjet se,evolve,ɪvˈɑːlv,evolve,5815,5,,1
16022,přesnost,exactness,ɛɡzˈæktnəs,exactness,5816,5,,1
16023,přehánět,exaggerate,ɛɡzˈædʒɚɹˌeɪt,exaggerate,5817,5,,1
16024,přehánění,exaggeration,ɛɡzˌædʒɚɹˈeɪʃən,exaggeration,5818,5,,1
16025,oslavovat,exalt,ɛɡzˈɑːlt,exalt,5819,5,,1
16026,zkoušený,examinee,ɛɡzˈæmɪnˌiː,examinee,5820,5,,1
16027,překročit,exceed,ɛksˈiːd,exceed,5821,5,,1
16028,vynikat,excel,ɛksˈɛl,excel,5822,5,,1
16029,výjimka,exception,ɛksˈɛpʃən,exception,5823,5,,1
16030,výjimečný,exceptional,ɛksˈɛpʃənəl,exceptional,5824,5,,1
16031,věčně,eternally,ɪtˈɜːnəli,eternally,5825,5,,1
16032,odhadnutý,estimated,ˈɛstᵻmˌeɪɾᵻd,estimated,5826,5,,1
16033,majetek,estate,ᵻstˈeɪt,estate,5827,5,,1
16034,rozbitý,breakable,bɹˈeɪkəbəl,breakable,5828,5,,1
16035,pohltit,engulf,ɛŋɡˈʌlf,engulf,5829,5,,1
16036,zvýšit,enhance,ɛnhˈæns,enhance,5830,5,,1
16037,zapsat,enrol,ɛnɹˈoʊl,enrol,5831,5,,1
16038,podnik,enterprise,ˈɛntɚpɹˌaɪz,enterprise,5832,5,,1
16039,zábavný,entertaining,ˌɛntɚtˈeɪnɪŋ,entertaining,5833,5,,1
16040,nadšeně,enthusiastically,ɛnθˌuːziˈæstɪkli,enthusiastically,5834,5,,1
16041,opravňovat,entitle,ɛntˈaɪɾəl,entitle,5835,5,,1
16042,podnikatel,entrepreneur,ˌɑːntɹɪpɹənˈʊɹ,entrepreneur,5836,5,,1
16043,prostředí,environment,ɛnvˈaɪɹənmənt,environment,5837,5,,1
16044,výjimečně,exceptionally,ɛksˈɛpʃənəli,exceptionally,5838,5,,1
16045,ekologicky,environmentally,ɛnvˌaɪɹənmˈɛntəli,environmentally,5839,5,,1
16046,závidět,envy,ˈɛnvi,envy,5840,5,,1
16047,rovnat se,equal,ˈiːkwəl,equal,5841,5,,1
16048,rovnice,equation,ᵻkwˈeɪʒən,equation,5842,5,,1
16049,vybavit,equip,ɪkwˈɪp,equip,5843,5,,1
16050,vlastní kapitál,equity,ˈɛkwᵻɾi,equity,5844,5,,1
16051,postavit,erect,ɪɹˈɛkt,erect,5845,5,,1
16052,vybuchnout,erupt,ɪɹˈʌpt,erupt,5846,5,,1
16053,výbuch,eruption,ɪɹˈʌpʃən,eruption,5847,5,,1
16054,esejista,essayist,ˈɛseɪˌɪst,essayist,5848,5,,1
16055,v podstatě,essentially,ᵻsˈɛnʃəli,essentially,5849,5,,1
16056,nadměrný,excessive,ɛksˈɛsɪv,excessive,5850,5,,1
16057,brzdit,brake,bɹˈeɪk,brake,5851,5,,1
16058,zvolat,exclaim,ɛksklˈeɪm,exclaim,5852,5,,1
16059,vývozní,export,ˈɛkspɔːɹt,export,5853,5,,1
16060,expresivní,expressive,ɛkspɹˈɛsɪv,expressive,5854,5,,1
16061,vynikající,exquisite,ɛkskwˈɪsɪt,exquisite,5855,5,,1
16062,rozšíření,extension,ɛkstˈɛnʃən,extension,5856,5,,1
16063,rozsáhlý,extensive,ɛkstˈɛnsɪv,extensive,5857,5,,1
16064,externí,external,ɛkstˈɜːnəl,external,5858,5,,1
16065,výpis,extract,ˈɛkstɹækt,extract,5859,5,,1
16066,vytáhnout,extract,ˈɛkstɹækt,extract,5860,5,,1
16067,mimořádně,extraordinarily,ɛkstɹˌɔːɹdɪnˈɛɹᵻli,extraordinarily,5861,5,,1
16068,plesající,exultant,ɛɡzˈʌltənt,exultant,5862,5,,1
16069,chválit se,brag,bɹˈæɡ,brag,5863,5,,1
16070,řasa,eyelash,ˈaɪlæʃ,eyelash,5864,5,,1
16071,oční víčko,eyelid,ˈaɪlɪd,eyelid,5865,5,,1
16072,tkanina,fabric,fˈæbɹɪk,fabric,5866,5,,1
16073,báječný,fabulous,fˈæbjʊləs,fabulous,5867,5,,1
16074,konzola,bracket,bɹˈækɪt,bracket,5868,5,,1
16075,usnadnit,facilitate,fəsˈɪlᵻtˌeɪt,facilitate,5869,5,,1
16076,zařízení,facilities,fəsˈɪlᵻɾiz,facilities,5870,5,,1
16077,faktor,factor,fˈæktɚ,factor,5871,5,,1
16078,fakulta,faculty,fˈækəlti,faculty,5872,5,,1
16079,omdlít,faint,fˈeɪnt,faint,5873,5,,1
16080,obočí,eyebrow,ˈaɪbɹaʊ,eyebrow,5874,5,,1
16081,angažovanost,engagement,ɛŋɡˈeɪdʒmənt,engagement,5875,5,,1
16082,explozivní,explosive,ɛksplˈoʊsɪv,explosive,5876,5,,1
16083,využívat,exploit,ˈɛksplɔɪt,exploit,5877,5,,1
16084,vykřičník,exclamation mark,ɛksklɐmˈeɪʃən mˈɑːɹk,exclamation_mark,5878,5,,1
16085,vyloučit,exclude,ɛksklˈuːd,exclude,5879,5,,1
16086,vyloučení,exclusion,ɛksklˈuːʒən,exclusion,5880,5,,1
16087,výhradně,exclusively,ɛksklˈuːsɪvli,exclusively,5881,5,,1
16088,výlet,excursion,ɛkskˈɜːʃən,excursion,5882,5,,1
16089,vykonat,execute,ˈɛksᵻkjˌuːt,execute,5883,5,,1
16090,provedení,execution,ˌɛksɪkjˈuːʃən,execution,5884,5,,1
16091,výkonný,executive,ɛɡzˈɛkjuːtˌɪv,executive,5885,5,,1
16092,vedoucí pracovník,executive,ɛɡzˈɛkjuːtˌɪv,executive,5886,5,,1
16093,výfuk,exhaust,ɛɡzˈɔːst,exhaust,5887,5,,1
16094,badatel,explorer,ɛksplˈɔːɹɚ,explorer,5888,5,,1
16095,vyčerpávající,exhausting,ɛɡzˈɔːstɪŋ,exhausting,5889,5,,1
16096,vyhnanství,exile,ˈɛɡzaɪl,exile,5890,5,,1
16097,existující,existing,ɛɡzˈɪstɪŋ,existing,5891,5,,1
16098,exotický,exotic,ɛɡzˈɑːɾɪk,exotic,5892,5,,1
16099,rozšíření,expansion,ɛkspˈænʃən,expansion,5893,5,,1
16100,očekávání,expectation,ɛkspɪktˈeɪʃən,expectation,5894,5,,1
16101,očekávaný,expected,ɛkspˈɛktᵻd,expected,5895,5,,1
16102,expedice,expedition,ˌɛkspədˈɪʃən,expedition,5896,5,,1
16103,experimentovat,experiment,ɛkspˈɛɹɪmənt,experiment,5897,5,,1
16104,explodovat,explode,ɛksplˈoʊd,explode,5898,5,,1
16105,vyčerpání,exhaustion,ɛɡzˈɔːstʃən,exhaustion,5899,5,,1
16106,prosadit,enforce,ɛnfˈɔːɹs,enforce,5900,5,,1
16107,trvalý,enduring,ɛndˈʊɹɹɪŋ,enduring,5901,5,,1
16108,pád,downfall,dˈaʊnfɔːl,downfall,5902,5,,1
16109,stažení,download,dˈaʊnloʊd,download,5903,5,,1
16110,zmenšit,downsize,dˈaʊnsaɪz,downsize,5904,5,,1
16111,věno,dowry,dˈaʊɹi,dowry,5905,5,,1
16112,návrh,draught,dɹˈæft,draught,5906,5,,1
16113,vypustit,drain,dɹˈeɪn,drain,5907,5,,1
16114,stoka,drain,dɹˈeɪn,drain,5908,5,,1
16115,dramaticky,dramatically,dɹəmˈæɾɪkli,dramatically,5909,5,,1
16116,textil,drapery,dɹˈeɪpɚɹi,drapery,5910,5,,1
16117,širokopásmové připojení,broadband,bɹˈɔːdbænd,broadband,5911,5,,1
16118,strach,dread,dɹˈɛd,dread,5912,5,,1
16119,strašný,dreadful,dɹˈɛdfəl,dreadful,5913,5,,1
16120,zasněný,dreamy,dɹˈiːmi,dreamy,5914,5,,1
16121,skvěle,brilliantly,bɹˈɪliəntli,brilliantly,5915,5,,1
16122,pitný,drinkable,dɹˈɪŋkəbəl,drinkable,5916,5,,1
16123,vadnout,droop,dɹˈuːp,droop,5917,5,,1
16124,odpadnutí,dropout,dɹˈɑːpaʊt,dropout,5918,5,,1
16125,sucho,drought,dɹˈaʊt,drought,5919,5,,1
16126,souboj,duel,dˈuːəl,duel,5920,5,,1
16127,němý,dumb,dˈʌm,dumb,5921,5,,1
16128,duplikát,duplicate,dˈuːplᵻkˌeɪt,duplicate,5922,5,,1
16129,vysílat,broadcast,bɹˈɔːdkæst,broadcast,5923,5,,1
16130,holubice,dove,dˈʌv,dove,5924,5,,1
16131,pochybný,doubtful,dˈaʊtfəl,doubtful,5925,5,,1
16132,DNA,DNA,dˌiːˌɛnˈeɪ,dna,5926,5,,1
16133,dok,dock,dˈɑːk,dock,5927,5,,1
16134,brožura,brochure,bɹoʊʃˈʊɹr,brochure,5928,5,,1
16135,široce,broadly,bɹˈɔːdli,broadly,5929,5,,1
16136,rozšířit,broaden,bɹˈɔːdən,broaden,5930,5,,1
16137,domácí,domestic,dəmˈɛstɪk,domestic,5931,5,,1
16138,ovládat,dominate,dˈɑːmᵻnˌeɪt,dominate,5932,5,,1
16139,darovat,donate,doʊnˈeɪt,donate,5933,5,,1
16140,dar,donation,doʊnˈeɪʃən,donation,5934,5,,1
16141,zdvojení,duplication,dˌuːplɪkˈeɪʃən,duplication,5935,5,,1
16142,osel,donkey,dˈɔŋki,donkey,5936,5,,1
16143,vysílatel,broadcaster,bɹˈɔːdkæstɚ,broadcaster,5937,5,,1
16144,vrátný,doorkeeper,dˈɔːɹkiːpɚ,doorkeeper,5938,5,,1
16145,vchod,doorway,dˈɔːɹweɪ,doorway,5939,5,,1
16146,koleji,dorm,dˈɔːɹm,dorm,5940,5,,1
16147,ubytovna,dormitory,dˈɔːɹmɪtˌɔːɹi,dormitory,5941,5,,1
16148,dávka,dose,dˈoʊs,dose,5942,5,,1
16149,zdvojnásobit,double,dˈʌbəl,double,5943,5,,1
16150,dvojník,double,dˈʌbəl,double,5944,5,,1
16151,dvojnásobně,doubly,dˈʌbli,doubly,5945,5,,1
16152,pochybovat,doubt,dˈaʊt,doubt,5946,5,,1
11509,osud,doom,dˈuːm,doom,5947,5,,1
11510,barvivo,dye,dˈaɪ,dye,5948,5,,1
16153,dynamický,dynamic,daɪnˈæmɪk,dynamic,5949,5,,1
16154,elegance,elegance,ˈɛlɪɡəns,elegance,5950,5,,1
16155,elegantní,elegant,ˈɛlɪɡənt,elegant,5951,5,,1
16156,elegantně,elegantly,ˈɛlɪɡəntli,elegantly,5952,5,,1
16157,elementární,elemental,ˌɛlɪmˈɛntəl,elemental,5953,5,,1
16158,rozpad,breakup,bɹˈeɪkʌp,breakup,5954,5,,1
16159,oprávněný,eligible,ˈɛlɪdʒəbəl,eligible,5955,5,,1
16160,elita,elite,ɪlˈiːt,elite,5956,5,,1
16161,výmluvnost,eloquence,ˈɛləkwəns,eloquence,5957,5,,1
16162,výmluvný,eloquent,ˈɛləkwənt,eloquent,5958,5,,1
16163,velvyslanectví,embassy,ˈɛmbəsi,embassy,5959,5,,1
16164,elektronika,electronics,ᵻlɛktɹˈɑːnɪks,electronics,5960,5,,1
16165,objetí,embrace,ɛmbɹˈeɪs,embrace,5961,5,,1
16166,důrazně,emphatically,ɛmfˈæɾɪkli,emphatically,5962,5,,1
16167,zaměstnanec,employee,ɛmplˈɔɪiː,employee,5963,5,,1
16168,zaměstnavatel,employer,ɛmplˈɔɪɚ,employer,5964,5,,1
16169,setkat se,encounter,ɛŋkˈaʊntɚ,encounter,5965,5,,1
16170,zhroucení,breakdown,bɹˈeɪkdaʊn,breakdown,5966,5,,1
16171,usilovat,endeavour,ɛndˈɛvɚ,endeavour,5967,5,,1
16172,nekonečně,endlessly,ˈɛndləsli,endlessly,5968,5,,1
16173,podporovat,endorse,ɛndˈɔːɹs,endorse,5969,5,,1
16174,vytrvalost,endurance,ɛndˈʊɹɹəns,endurance,5970,5,,1
16175,vznik,emergence,ɪmˈɜːdʒəns,emergence,5971,5,,1
16176,energie,energy,ˈɛnɚdʒi,energy,5972,5,,1
16177,elektronicky,electronically,ᵻlɛktɹˈɑːnɪkli,electronically,5973,5,,1
16178,volitelný,elective,ᵻlˈɛktɪv,elective,5974,5,,1
16179,pivovar,brewery,bɹˈuːɚɹi,brewery,5975,5,,1
16180,svěží,breezy,bɹˈiːzi,breezy,5976,5,,1
16181,dychtivě,eagerly,ˈiːɡɚli,eagerly,5977,5,,1
16182,orel,eagle,ˈiːɡəl,eagle,5978,5,,1
16183,zisk,earnings,ˈɜːnɪŋz,earnings,5979,5,,1
16184,snadnost,ease,ˈiːz,ease,5980,5,,1
16185,zmírnit,ease,ˈiːz,ease,5981,5,,1
16186,na východ,eastward,ˈiːstwɚd,eastward,5982,5,,1
16187,plemeno,breed,bɹˈiːd,breed,5983,5,,1
16188,ekologicky,ecologically,ˌɛkəlˈɑːdʒɪkli,ecologically,5984,5,,1
16189,elektrikář,electrician,ᵻlɛktɹˈɪʃən,electrician,5985,5,,1
16190,ekolog,ecologist,ɛkˈɑːlədʒˌɪst,ecologist,5986,5,,1
